日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-23,600996,14.84,14.79,15.04,14.62,169699,251574634.0,2.83,-0.47,-0.07,1.41
2023-02-24,600996,14.85,14.78,15.05,14.65,187918,278917068.0,2.7,-0.07,-0.01,1.56
2023-02-27,600996,14.55,14.12,14.62,14.1,271101,387076231.0,3.52,-4.47,-0.66,2.25
2023-02-28,600996,14.28,14.31,14.6,14.14,161378,230643682.0,3.26,1.35,0.19,1.34
2023-03-01,600996,14.29,14.57,14.63,14.22,226321,328790665.0,2.87,1.82,0.26,1.88
2023-03-02,600996,14.5,14.8,14.84,14.48,213227,314217493.0,2.47,1.58,0.23,1.77
2023-03-03,600996,14.84,14.79,14.85,14.55,163121,240143851.0,2.03,-0.07,-0.01,1.35
2023-03-06,600996,14.57,14.38,14.59,14.2,203075,291800791.0,2.64,-2.77,-0.41,1.68
2023-03-07,600996,14.3,13.92,14.45,13.92,235467,331955941.0,3.69,-3.2,-0.46,1.95
2023-03-08,600996,13.75,14.17,14.18,13.75,146754,205904071.0,3.09,1.8,0.25,1.22
2023-03-09,600996,14.17,13.88,14.17,13.65,187443,259839772.0,3.67,-2.05,-0.29,1.55
2023-03-10,600996,13.68,13.48,13.82,13.39,179329,243353760.0,3.1,-2.88,-0.4,1.49
2023-03-13,600996,13.24,13.64,13.68,13.13,194729,261299874.0,4.08,1.19,0.16,1.62
2023-03-14,600996,13.55,13.16,13.75,13.03,204744,272496304.0,5.28,-3.52,-0.48,1.7
2023-03-15,600996,13.2,13.29,13.5,13.17,159791,213065585.0,2.51,0.99,0.13,1.33
2023-03-16,600996,13.18,13.28,13.5,13.09,146830,195119012.0,3.09,-0.08,-0.01,1.22
2023-03-17,600996,13.45,13.45,13.48,13.28,145872,195472219.0,1.51,1.28,0.17,1.21
2023-03-20,600996,13.0,12.94,13.2,12.65,279550,361519858.0,4.09,-3.79,-0.51,2.32
2023-03-21,600996,12.98,13.24,13.26,12.84,165878,216879765.0,3.25,2.32,0.3,1.38
2023-03-22,600996,13.2,13.3,13.32,13.1,124904,165298135.0,1.66,0.45,0.06,1.04
2023-03-23,600996,13.2,13.3,13.31,13.05,132650,174639194.0,1.95,0.0,0.0,1.1
2023-03-24,600996,13.28,13.29,13.53,13.11,190279,253234731.0,3.16,-0.08,-0.01,1.58
2023-03-27,600996,13.17,13.1,13.33,12.95,164302,215716028.0,2.86,-1.43,-0.19,1.36
2023-03-28,600996,13.03,12.7,13.04,12.68,224296,288078349.0,2.75,-3.05,-0.4,1.86
2023-03-29,600996,12.67,12.62,12.79,12.4,207488,261515379.0,3.07,-0.63,-0.08,1.72
2023-03-30,600996,12.68,12.16,12.68,12.1,208893,256715178.0,4.6,-3.65,-0.46,1.73
2023-03-31,600996,12.2,12.85,12.96,12.15,291924,368220870.0,6.66,5.67,0.69,2.42
2023-04-03,600996,12.76,12.55,12.76,12.36,231805,289778894.0,3.11,-2.33,-0.3,1.92
2023-04-04,600996,12.92,13.34,13.81,12.89,643241,869418723.0,7.33,6.29,0.79,5.33
2023-04-06,600996,13.05,12.69,13.06,12.62,397130,506472273.0,3.3,-4.87,-0.65,3.29
2023-04-07,600996,12.57,12.67,12.89,12.54,204079,259612246.0,2.76,-0.16,-0.02,1.69
2023-04-10,600996,12.4,11.91,12.55,11.89,342330,416304979.0,5.21,-6.0,-0.76,2.83
2023-04-11,600996,11.98,12.14,12.55,11.59,334562,404573856.0,8.06,1.93,0.23,2.77
2023-04-12,600996,11.91,12.2,12.32,11.9,247733,300948229.0,3.46,0.49,0.06,2.05
2023-04-13,600996,12.17,12.15,12.35,12.1,193077,236073819.0,2.05,-0.41,-0.05,1.6
2023-04-14,600996,12.13,11.89,12.22,11.75,203787,242490235.0,3.87,-2.14,-0.26,1.69
2023-04-17,600996,11.84,11.58,11.85,11.47,185471,214930544.0,3.2,-2.61,-0.31,1.54
2023-04-18,600996,11.49,11.5,11.59,11.34,160469,184171561.0,2.16,-0.69,-0.08,1.33
2023-04-19,600996,11.47,11.49,11.74,11.46,164129,190148924.0,2.43,-0.09,-0.01,1.36
2023-04-20,600996,11.43,11.74,11.74,11.4,174245,201010284.0,2.96,2.18,0.25,1.44
2023-04-21,600996,11.73,11.02,11.75,10.99,261131,294199593.0,6.47,-6.13,-0.72,2.16
2023-04-24,600996,10.86,11.01,11.14,10.76,166326,183048242.0,3.45,-0.09,-0.01,1.38
2023-04-25,600996,10.95,10.77,11.06,10.59,205615,221803076.0,4.27,-2.18,-0.24,1.7
2023-04-26,600996,10.77,10.98,11.12,10.74,210436,230072531.0,3.53,1.95,0.21,1.74
2023-04-27,600996,10.89,10.98,11.19,10.81,165375,181511155.0,3.46,0.0,0.0,1.37
2023-04-28,600996,11.2,11.4,11.54,11.14,248832,282818706.0,3.64,3.83,0.42,2.06
2023-05-04,600996,11.15,11.36,11.44,11.15,195260,220264677.0,2.54,-0.35,-0.04,1.62
2023-05-05,600996,11.42,11.3,11.42,11.15,154969,174493069.0,2.38,-0.53,-0.06,1.28
2023-05-08,600996,11.15,11.32,11.39,11.08,168568,189172023.0,2.74,0.18,0.02,1.4
2023-05-09,600996,11.32,11.19,11.54,11.17,208431,236873741.0,3.27,-1.15,-0.13,1.73
2023-05-10,600996,11.1,11.22,11.36,11.09,151012,169643593.0,2.41,0.27,0.03,1.25
2023-05-11,600996,11.25,11.47,11.67,11.25,261701,300689967.0,3.74,2.23,0.25,2.17
2023-05-12,600996,11.42,11.02,11.42,11.02,198008,221158037.0,3.49,-3.92,-0.45,1.64
2023-05-15,600996,10.97,10.89,11.04,10.65,173293,187559513.0,3.54,-1.18,-0.13,1.44
2023-05-16,600996,10.96,10.51,10.97,10.45,174063,184214649.0,4.78,-3.49,-0.38,1.44
2023-05-17,600996,10.95,10.92,11.56,10.85,493026,553497223.0,6.76,3.9,0.41,4.08
2023-05-18,600996,10.68,11.06,11.56,10.3,603215,652245765.0,11.54,1.28,0.14,5.0
2023-05-19,600996,10.91,10.69,11.09,10.62,295597,318386269.0,4.25,-3.35,-0.37,2.45
2023-05-22,600996,10.6,10.4,10.66,10.37,183492,191527683.0,2.71,-2.71,-0.29,1.52
2023-05-23,600996,10.4,10.07,10.43,10.06,176299,179739226.0,3.56,-3.17,-0.33,1.46
2023-05-24,600996,9.99,10.09,10.29,9.78,281708,282300998.0,5.06,0.2,0.02,2.33
2023-05-25,600996,10.36,10.01,10.43,9.88,211233,213468264.0,5.45,-0.79,-0.08,1.75
2023-05-26,600996,9.89,9.89,10.0,9.75,162292,160450674.0,2.5,-1.2,-0.12,1.34
2023-05-29,600996,9.86,9.64,9.93,9.59,193325,187266087.0,3.44,-2.53,-0.25,1.6
2023-05-30,600996,9.6,9.74,9.75,9.47,158002,152111328.0,2.9,1.04,0.1,1.31
2023-05-31,600996,9.7,9.67,9.83,9.66,111108,108199222.0,1.75,-0.72,-0.07,0.92
2023-06-01,600996,9.69,9.93,10.08,9.58,256693,254872223.0,5.17,2.69,0.26,2.13
2023-06-02,600996,9.92,10.05,10.11,9.89,149171,149659043.0,2.22,1.21,0.12,1.24
2023-06-05,600996,9.98,10.08,10.23,9.93,167879,169524779.0,2.99,0.3,0.03,1.39
2023-06-06,600996,10.14,9.86,10.21,9.81,167222,167646289.0,3.97,-2.18,-0.22,1.38
2023-06-07,600996,9.84,10.06,10.27,9.71,185084,185976107.0,5.68,2.03,0.2,1.53
2023-06-08,600996,10.02,10.03,10.11,9.84,142682,142345812.0,2.68,-0.3,-0.03,1.18
2023-06-09,600996,10.17,10.23,10.32,10.06,216207,220492530.0,2.59,1.99,0.2,1.79
2023-06-12,600996,10.26,10.09,10.35,10.08,153558,156067392.0,2.64,-1.37,-0.14,1.27
2023-06-13,600996,10.13,10.4,10.68,10.09,333915,349133804.0,5.85,3.07,0.31,2.77
2023-06-14,600996,10.53,11.0,11.18,10.45,553509,603180913.0,7.02,5.77,0.6,4.58
2023-06-15,600996,10.8,10.61,10.88,10.59,319851,341608935.0,2.64,-3.55,-0.39,2.65
2023-06-16,600996,10.57,10.62,10.71,10.39,198534,209760144.0,3.02,0.09,0.01,1.64
2023-06-19,600996,10.49,10.43,10.8,10.42,202931,214006820.0,3.58,-1.79,-0.19,1.68
2023-06-20,600996,10.4,10.34,10.62,10.29,165605,172284158.0,3.16,-0.86,-0.09,1.37
2023-06-21,600996,10.33,10.01,10.35,9.97,181291,183000257.0,3.68,-3.19,-0.33,1.5
