code,name,concepts
601890,亚星锚链,船舶制造;融资融券;海工装备;沪股通;海洋经济
300589,江龙船艇,船舶制造;军民融合;军工;专精特新;创业板综;融资融券;海工装备;深股通
300065,海兰信,船舶制造;航母概念;军工;并购重组概念;数据要素;专精特新;人工智能;创业板综;机构重仓;商业航天;大数据;股权激励;阿里概念;融资融券;京津冀;算力概念;海工装备;数据中心;深股通;云计算;液冷概念;海洋经济;昨日高换手
603268,*ST松发,船舶制造;ST股;并购重组概念;QFII重仓;2025中报扭亏;贬值受益;昨日涨停_含一字;昨日涨停;最近多板
300008,天海防务,船舶制造;数字孪生;军民融合;军工;专精特新;创业板综;融资融券;海工装备;深股通;长江三角;海洋经济;一带一路;天然气;风能
300600,国瑞科技,船舶制造;军民融合;军工;机器人概念;QFII重仓;创业板综;机构重仓;央国企改革;海工装备;海洋经济;核能核电
600685,中船防务,船舶制造;军工;机构重仓;参股银行;融资融券;央国企改革;海工装备;沪股通;中字头;2025中报预增;富时罗素;标准普尔;MSCI中国;AH股;中证500;中特估;昨日高振幅
300123,亚光科技,船舶制造;军民融合;北斗导航;军工;半导体概念;国产芯片;卫星互联网;第三代半导体;创业板综;商业航天;股权激励;6G概念;融资融券;氮化镓;5G概念;深股通;富时罗素
600150,中国船舶,船舶制造;军民融合;航母概念;军工;并购重组概念;IPO受益;机构重仓;融资融券;央国企改革;海工装备;沪股通;中字头;2025中报预增;海洋经济;HS300_;一带一路;上证180_;2025三季报预增;MSCI中国;上证50_;风能;中特估
600482,中国动力,船舶制造;军民融合;航母概念;军工;燃料电池;固态电池;锂电池;雄安新区;转债标的;融资融券;京津冀;央国企改革;海工装备;石墨烯;沪股通;中字头;2025中报预增;储能;HS300_;氢能源;上证180_;标准普尔;MSCI中国;核能核电;太阳能;昨日高振幅
300719,安达维尔,航天航空;通用航空;无人机;大飞机;军民融合;碳纤维;低空经济;军工;微利股;创业板综;商业航天
600893,航发动力,航天航空;通用航空;无人机;大飞机;航母概念;军工;参股银行;西部大开发;融资融券;央国企改革;沪股通;2025中报预减;富时罗素;HS300_;上证180_;标准普尔;MSCI中国;昨日高振幅
688586,江航装备,航天航空;空间站概念;国家安防;军工;机构重仓;融资融券;央国企改革;沪股通
688563,航材股份,航天航空;大飞机;军民融合;低空经济;军工;机器人概念;机构重仓;商业航天;融资融券;央国企改革;沪股通;中证500;核能核电
000738,航发控制,航天航空;通用航空;航母概念;军工;商业航天;融资融券;央国企改革;深股通;富时罗素;标准普尔;MSCI中国;深成500;中证500
688510,航亚科技,航天航空;通用航空;大飞机;专精特新;医疗器械概念;融资融券;沪股通
